player_name,cluster
Josh Okogie,Big Espaçador
Josh Richardson,Criador de Arremessos
Jrue Holiday,Infiltrador
Juancho Hernangomez,Big Espaçador
Julius Randle,Infiltrador
Justin Holiday,Arremessador Parado
Justin Jackson,Big Espaçador
Justise Winslow,Infiltrador
Karl-Anthony Towns,Big Espaçador
Kawhi Leonard,Criador de Arremessos
Keita Bates-Diop,Big Espaçador
Kelan Martin,Arremessador Versátil
Kelly Olynyk,Arremessador Parado
Kelly Oubre Jr.,Big Espaçador
Kemba Walker,Criador de Arremessos
Kendrick Nunn,Arremessador Versátil
Kenrich Williams,Arremessador Parado
Kent Bazemore,Arremessador Versátil
Kentavious Caldwell-Pope,Arremessador Versátil
Kevin Huerter,Arremessador Versátil
Kevin Knox II,Arremessador Versátil
Kevin Love,Arremessador Parado
Kevin Porter Jr.,Infiltrador
Khem Birch,Big Interior
Khris Middleton,Arremessador Versátil
Kris Dunn,Infiltrador
Kristaps Porzingis,Big Espaçador
Ky Bowman,Infiltrador
Kyle Anderson,Infiltrador
Kyle Korver,Arremessador Parado
Kyle Kuzma,Big Espaçador
Kyle Lowry,Criador de Arremessos
Kyrie Irving,Criador de Arremessos
LaMarcus Aldridge,Big Espaçador
Landry Shamet,Arremessador Parado
Langston Galloway,Arremessador Parado
Larry Nance Jr.,Big Espaçador
Lauri Markkanen,Arremessador Parado
LeBron James,Infiltrador
Lonnie Walker IV,Criador de Arremessos
Lonzo Ball,Arremessador Versátil
Lou Williams,Criador de Arremessos
Luguentz Dort,Big Espaçador
Luka Doncic,Infiltrador
Luke Kennard,Arremessador Versátil
Luke Kornet,Arremessador Parado
Malcolm Brogdon,Criador de Arremessos
Malik Beasley,Arremessador Versátil
Malik Monk,Infiltrador
Marc Gasol,Arremessador Parado
Marco Belinelli,Arremessador Versátil
Marcus Morris Sr.,Arremessador Versátil
Marcus Smart,Arremessador Versátil
Mario Hezonja,Infiltrador
Markelle Fultz,Infiltrador
Markieff Morris,Big Espaçador
Marko Guduric,Arremessador Versátil
Marquese Chriss,Big Interior
Marvin Bagley III,Big Espaçador
